============================================================
决策摘要报告 (MCM Agency Recommendation)
============================================================
电梯建设决策: [1, 1, 1]
预计完成时间: 2179.0年 (129.0年后)
总成本估算: $3.31 万亿美元
平均年运力: 0.77 百万吨/年
============================================================

前n个周期预览:
       Year  Period  Rocket_Flow_MT  Elevator_Flow_MT  Total_Flow_MT  Cumulative_MT  Completion_%
0    2050.0       0        300000.0               0.0       300000.0       300000.0         0.300
1    2051.0       1        300000.0               0.0       300000.0       600000.0         0.600
2    2052.0       2        300000.0               0.0       300000.0       900000.0         0.900
3    2053.0       3        300000.0               0.0       300000.0      1200000.0         1.200
4    2054.0       4        300000.0               0.0       300000.0      1500000.0         1.500
5    2055.0       5        300000.0               0.0       300000.0      1800000.0         1.800
6    2056.0       6        300000.0               0.0       300000.0      2100000.0         2.100
7    2057.0       7        300000.0               0.0       300000.0      2400000.0         2.400
8    2058.0       8        300000.0               0.0       300000.0      2700000.0         2.700
9    2059.0       9        300000.0               0.0       300000.0      3000000.0         3.000
10   2060.0      10        300000.0          537000.0       837000.0      3837000.0         3.837
11   2061.0      11        300000.0          537000.0       837000.0      4674000.0         4.674
12   2062.0      12        300000.0          537000.0       837000.0      5511000.0         5.511
13   2063.0      13        300000.0          537000.0       837000.0      6348000.0         6.348
14   2064.0      14        300000.0          537000.0       837000.0      7185000.0         7.185
15   2065.0      15        300000.0          537000.0       837000.0      8022000.0         8.022
16   2066.0      16        300000.0          537000.0       837000.0      8859000.0         8.859
17   2067.0      17        300000.0          537000.0       837000.0      9696000.0         9.696
18   2068.0      18        300000.0          537000.0       837000.0     10533000.0        10.533
19   2069.0      19        300000.0          537000.0       837000.0     11370000.0        11.370
20   2070.0      20        300000.0          537000.0       837000.0     12207000.0        12.207
21   2071.0      21        300000.0          537000.0       837000.0     13044000.0        13.044
22   2072.0      22        300000.0          537000.0       837000.0     13881000.0        13.881
23   2073.0      23        300000.0          537000.0       837000.0     14718000.0        14.718
24   2074.0      24        300000.0          537000.0       837000.0     15555000.0        15.555
25   2075.0      25        300000.0          537000.0       837000.0     16392000.0        16.392
26   2076.0      26        300000.0          537000.0       837000.0     17229000.0        17.229
27   2077.0      27        300000.0          537000.0       837000.0     18066000.0        18.066
28   2078.0      28        300000.0          537000.0       837000.0     18903000.0        18.903
29   2079.0      29        300000.0          537000.0       837000.0     19740000.0        19.740
30   2080.0      30        300000.0          537000.0       837000.0     20577000.0        20.577
31   2081.0      31        300000.0          537000.0       837000.0     21414000.0        21.414
32   2082.0      32        300000.0          537000.0       837000.0     22251000.0        22.251
33   2083.0      33        300000.0          537000.0       837000.0     23088000.0        23.088
34   2084.0      34        300000.0          537000.0       837000.0     23925000.0        23.925
35   2085.0      35        300000.0          537000.0       837000.0     24762000.0        24.762
36   2086.0      36        300000.0          537000.0       837000.0     25599000.0        25.599
37   2087.0      37        300000.0          537000.0       837000.0     26436000.0        26.436
38   2088.0      38        300000.0          537000.0       837000.0     27273000.0        27.273
39   2089.0      39        300000.0          537000.0       837000.0     28110000.0        28.110
40   2090.0      40        300000.0          537000.0       837000.0     28947000.0        28.947
41   2091.0      41        300000.0          537000.0       837000.0     29784000.0        29.784
42   2092.0      42        300000.0          537000.0       837000.0     30621000.0        30.621
43   2093.0      43        300000.0          537000.0       837000.0     31458000.0        31.458
44   2094.0      44        300000.0          537000.0       837000.0     32295000.0        32.295
45   2095.0      45        300000.0          537000.0       837000.0     33132000.0        33.132
46   2096.0      46        300000.0          537000.0       837000.0     33969000.0        33.969
47   2097.0      47        300000.0          537000.0       837000.0     34806000.0        34.806
48   2098.0      48        300000.0          537000.0       837000.0     35643000.0        35.643
49   2099.0      49        300000.0          537000.0       837000.0     36480000.0        36.480
50   2100.0      50        300000.0          537000.0       837000.0     37317000.0        37.317
51   2101.0      51        300000.0          537000.0       837000.0     38154000.0        38.154
52   2102.0      52        300000.0          537000.0       837000.0     38991000.0        38.991
53   2103.0      53        300000.0          537000.0       837000.0     39828000.0        39.828
54   2104.0      54        300000.0          537000.0       837000.0     40665000.0        40.665
55   2105.0      55        300000.0          537000.0       837000.0     41502000.0        41.502
56   2106.0      56        300000.0          537000.0       837000.0     42339000.0        42.339
57   2107.0      57        300000.0          537000.0       837000.0     43176000.0        43.176
58   2108.0      58        300000.0          537000.0       837000.0     44013000.0        44.013
59   2109.0      59        300000.0          537000.0       837000.0     44850000.0        44.850
60   2110.0      60        300000.0          537000.0       837000.0     45687000.0        45.687
61   2111.0      61        300000.0          537000.0       837000.0     46524000.0        46.524
62   2112.0      62        300000.0          537000.0       837000.0     47361000.0        47.361
63   2113.0      63        300000.0          537000.0       837000.0     48198000.0        48.198
64   2114.0      64        300000.0          537000.0       837000.0     49035000.0        49.035
65   2115.0      65        300000.0          537000.0       837000.0     49872000.0        49.872
66   2116.0      66        300000.0          537000.0       837000.0     50709000.0        50.709
67   2117.0      67        300000.0          537000.0       837000.0     51546000.0        51.546
68   2118.0      68        300000.0          537000.0       837000.0     52383000.0        52.383
69   2119.0      69        300000.0          537000.0       837000.0     53220000.0        53.220
70   2120.0      70        300000.0          537000.0       837000.0     54057000.0        54.057
71   2121.0      71        300000.0          537000.0       837000.0     54894000.0        54.894
72   2122.0      72        300000.0          537000.0       837000.0     55731000.0        55.731
73   2123.0      73        300000.0          537000.0       837000.0     56568000.0        56.568
74   2124.0      74        300000.0          537000.0       837000.0     57405000.0        57.405
75   2125.0      75        300000.0          537000.0       837000.0     58242000.0        58.242
76   2126.0      76        300000.0          537000.0       837000.0     59079000.0        59.079
77   2127.0      77        300000.0          537000.0       837000.0     59916000.0        59.916
78   2128.0      78        300000.0          537000.0       837000.0     60753000.0        60.753
79   2129.0      79        300000.0          537000.0       837000.0     61590000.0        61.590
80   2130.0      80        300000.0          537000.0       837000.0     62427000.0        62.427
81   2131.0      81        300000.0          537000.0       837000.0     63264000.0        63.264
82   2132.0      82        300000.0          537000.0       837000.0     64101000.0        64.101
83   2133.0      83        300000.0          537000.0       837000.0     64938000.0        64.938
84   2134.0      84        300000.0          537000.0       837000.0     65775000.0        65.775
85   2135.0      85        300000.0          537000.0       837000.0     66612000.0        66.612
86   2136.0      86        300000.0          537000.0       837000.0     67449000.0        67.449
87   2137.0      87        300000.0          537000.0       837000.0     68286000.0        68.286
88   2138.0      88        300000.0          537000.0       837000.0     69123000.0        69.123
89   2139.0      89        300000.0          537000.0       837000.0     69960000.0        69.960
90   2140.0      90        300000.0          537000.0       837000.0     70797000.0        70.797
91   2141.0      91        300000.0          537000.0       837000.0     71634000.0        71.634
92   2142.0      92        300000.0          537000.0       837000.0     72471000.0        72.471
93   2143.0      93        300000.0          537000.0       837000.0     73308000.0        73.308
94   2144.0      94        300000.0          537000.0       837000.0     74145000.0        74.145
95   2145.0      95        300000.0          537000.0       837000.0     74982000.0        74.982
96   2146.0      96        300000.0          537000.0       837000.0     75819000.0        75.819
97   2147.0      97        300000.0          537000.0       837000.0     76656000.0        76.656
98   2148.0      98        300000.0          537000.0       837000.0     77493000.0        77.493
99   2149.0      99        300000.0          537000.0       837000.0     78330000.0        78.330
100  2150.0     100        300000.0          537000.0       837000.0     79167000.0        79.167
101  2151.0     101        300000.0          537000.0       837000.0     80004000.0        80.004
102  2152.0     102        300000.0          537000.0       837000.0     80841000.0        80.841
103  2153.0     103        300000.0          537000.0       837000.0     81678000.0        81.678
104  2154.0     104        300000.0          537000.0       837000.0     82515000.0        82.515
105  2155.0     105        300000.0          537000.0       837000.0     83352000.0        83.352
106  2156.0     106        300000.0          537000.0       837000.0     84189000.0        84.189
107  2157.0     107        300000.0          537000.0       837000.0     85026000.0        85.026
108  2158.0     108        300000.0          537000.0       837000.0     85863000.0        85.863
109  2159.0     109        300000.0          537000.0       837000.0     86700000.0        86.700
110  2160.0     110        300000.0          537000.0       837000.0     87537000.0        87.537
111  2161.0     111        300000.0          537000.0       837000.0     88374000.0        88.374
112  2162.0     112        300000.0          537000.0       837000.0     89211000.0        89.211
113  2163.0     113        300000.0          537000.0       837000.0     90048000.0        90.048
114  2164.0     114        300000.0          537000.0       837000.0     90885000.0        90.885
115  2165.0     115        300000.0          537000.0       837000.0     91722000.0        91.722
116  2166.0     116        300000.0          537000.0       837000.0     92559000.0        92.559
117  2167.0     117        300000.0          537000.0       837000.0     93396000.0        93.396
118  2168.0     118        160000.0          537000.0       697000.0     94093000.0        94.093
119  2169.0     119             0.0          537000.0       537000.0     94630000.0        94.630
120  2170.0     120             0.0          537000.0       537000.0     95167000.0        95.167
121  2171.0     121             0.0          537000.0       537000.0     95704000.0        95.704
122  2172.0     122             0.0          537000.0       537000.0     96241000.0        96.241
123  2173.0     123             0.0          537000.0       537000.0     96778000.0        96.778
124  2174.0     124             0.0          537000.0       537000.0     97315000.0        97.315
125  2175.0     125             0.0          537000.0       537000.0     97852000.0        97.852
126  2176.0     126             0.0          537000.0       537000.0     98389000.0        98.389
127  2177.0     127             0.0          537000.0       537000.0     98926000.0        98.926
128  2178.0     128             0.0          537000.0       537000.0     99463000.0        99.463
129  2179.0     129             0.0          537000.0       537000.0    100000000.0       100.000

完成时间校验: 2179.0年 (129.0年后)
